Title,Full Reference,Inclusion (Title),Inclusion (Abstract)
rethinking knowledge graph propagation for zero-shot learning,"Kampffmeyer M., Chen Y., Liang X., Wang H., Zhang Y., Xing E.P., Rethinking knowledge graph propagation for zero-shot learning, pp. 11487-11496, (2019)",Exclude,""
graph structured network for image-text matching,"Liu C., Mao Z., Zhang T., Xie H., Wang B., Zhang Y., Graph structured network for image-text matching, Proceedings of the IEEE/CVF conference on computer vision and pattern recognition, pp. 10921-10930, (2020)",Exclude,""
exploring network structure,"Hagberg A., Swart P., S Chult D., Exploring network structure, dynamics, and function using networkx. Technical report, Los Alamos National Lab.(Lanl), (2008)",Exclude,""
flexible and robust multi-network clustering,"Ni J., Tong H., Fan W., Zhang X., Flexible and robust multi-network clustering, pp. 835-844, (2015)",Exclude,""
multi-modal bayesian embeddings for learning social knowledge graphs,"Yang Z., Tang J., Cohen W., Multi-modal Bayesian embeddings for learning social knowledge graphs, pp. 2287-2293, (2016)",Exclude,""
heterogeneous graph structure learning for graph neural networks,"Zhao J., Wang X., Shi C., Hu B., Song G., Ye Y., Heterogeneous graph structure learning for graph neural networks, AAAI, 35, pp. 4697-4705, (2021)",Exclude,""
neutaint: efficient dynamic taint analysis with neural networks,"She D., Chen Y., Shah A., Ray B., Jana S., Neutaint: Efficient dynamic taint analysis with neural networks, In Proc. IEEE Symposium on Security and Privacy, (2020)",Exclude,""
provably powerful graph networks,"Maron H., Ben-Hamu H., Serviansky H., Lipman Y., Provably Powerful Graph Networks, Advances in Neural Information Processing Systems, 32, (2019)",Exclude,""
graph neural networks with learnable structural and positional representations,"Dwivedi V.P., Luu A.T., Laurent T., Et al., Graph neural networks with learnable structural and positional representations, International Conference on Learning Representations, (2022)",Exclude,""
large-scale learnable graph convolutional networks,"Gao H., Wang Z., Ji S., Large-scale learnable graph convolutional networks, Proc. 24th Acm Sigkdd Int. Conf. Knowl. Discovery Data Mining, pp. 1416-1424, (2018)",Exclude,""
graph transformer networks: learning meta-path graphs to improve gnns [j],"Yun S., Jeong M., Yoo S., Et al., Graph Transformer Networks: Learning Meta-path Graphs to Improve GNNs [J], (2021)",Exclude,""
a sword with two edges: propagation studies on both positive and negative information in online social networks,"Wen S., Sayad Haghighi M., Chen C., Yang X., Zhou W., Jia W., A sword with two edges: Propagation studies on both positive and negative information in online social networks, IEEE Transactions on Computers, 64, 3, pp. 640-653, (2014)",Exclude,""
deep modular co-attention networks for visual question answering,"Yu Z., Yu J., Cui Y., Tao D., Tian Q., Deep modular co-attention networks for visual question answering, CVPR, pp. 6281-6290, (2019)",Exclude,""
distilling meta knowledge on heterogeneous graph for illicit drug trafficker detection on social media,"Qian Y., Zhang Y., Ye Y., Zhang C., Distilling Meta Knowledge on Heterogeneous Graph for Illicit Drug Trafficker Detection on Social Media, NeurIPS, (2021)",Exclude,""
adversarial contrastive learning for evidence-aware fake news detection with graph neural networks,"Wu J., Xu W., Liu Q., Wu S., Wang L., Adversarial Contrastive Learning for Evidence-aware Fake News Detection with Graph Neural Networks, (2022)",Exclude,""
adversarially regularized graph autoencoder for graph embedding,"Pan S., Hu R., Long G., Jiang J., Yao L., Zhang C., Adversarially regularized graph autoencoder for graph embedding, Proceedings of the 27Th International Joint Conference on Artificial Intelligence, IJCAI 2018. AAAI Press, (2018)",Exclude,""
dynamic embedding projection-gated convolutional neural networks for text classification,"Tan Z., Chen J., Kang Q., Zhou M., Abusorrah A., Sedraoui K., Dynamic embedding projection-gated convolutional neural networks for text classification, IEEE Trans. Neural Netw. Learn. Syst., (2021)",Exclude,""
comparison of regularization methods for imagenet classification with deep convolutional neural networks,"Smirnov E.A., Timoshenko D.M., Andrianov S.N., Comparison of regularization methods for imagenet classification with deep convolutional neural networks, Aasri Procedia, 6, pp. 89-94, (2014)",Exclude,""
adversarial attacks on neural networks for graph data,"Zugner D., Akbarnejad A., Gunnemann S., Adversarial attacks on neural networks for graph data, KDD, (2018)",Exclude,""
convolutional neural networks on graphs with fast localized spectral filtering,"Defferrard M., Bresson X., Vandergheynst P., Convolutional neural networks on graphs with fast localized spectral filtering, Neural Information Processing Systems (NIPS), pp. 3844-3852, (2016)",Exclude,""
graph clustering with graph neural networks,"Tsitsulin A., Palowitch J., Perozzi B., Graph clustering with graph neural networks, Arxiv Preprint Arxiv, 2006, (2020)",Exclude,""
training robust graph neural networks with topology adaptive edge dropping,"Gao Z., Bhattacharya S., Zhang L., Blum R.S., Ribeiro A., Sadler B.M., Training Robust Graph Neural Networks with Topology Adaptive Edge Dropping, (2021)",Exclude,""
a survey on the expressive power of graph neural networks,"Sato R., A Survey on the Expressive Power of Graph Neural Networks, (2020)",Exclude,""
heterogeneous graph attention network,"Wang X., Ji H., Shi C., Wang B., Ye Y., Cui P., Yu P.S., Heterogeneous graph attention network, The World WideWeb Conference, pp. 2022-2032, (2019)",Exclude,""
inside the atoms: ranking on a network of networks,"Ni J., Tong H., Fan W., Zhang X., Inside the atoms: Ranking on a network of networks, pp. 1356-1365, (2014)",Exclude,""
end-to-end structure-aware convolutional networks for knowledge base completion,"Shang C., Tang Y., Huang J., Bi J., He X., Zhou B., End-to-end structure-aware convolutional networks for knowledge base completion, Proceedings of the AAAI Conference on Artificial Intelligence, 33, pp. 3060-3067",Exclude,""
deep biaffine attention for neural dependency parsing,"Dozat T., Manning C.D., Deep biaffine attention for neural dependency parsing, pp. 1-8, (2017)",Exclude,""
very deep convolutional networks for large-scale image recognition,"Simonyan K., Zisserman A., Very deep convolutional networks for large-scale image recognition, (2014)",Exclude,""
learning to execute programs with instruction pointer attention graph neural networks,"Bieber D., Sutton C., Larochelle H., Tarlow D., Learning to execute programs with instruction pointer attention graph neural networks, Advances in Neural Information Processing Systems, 33, pp. 8626-8637, (2020)",Exclude,""
document modeling with gated recurrent neural network for sentiment classification,"Tang D., Qin B., Liu T., Document modeling with gated recurrent neural network for sentiment classification, Proceedings Afthe 2015 Conference on Empirical Methods in Natural Language Processing (CMNLP'15), pp. 1422-1432, (2015)",Exclude,""
fastgcn: fast learning with graph convolutional networks via importance sampling,"Chen J., Ma T., Xiao C., Fastgcn: fast learning with graph convolutional networks via importance sampling, (2018)",Exclude,""
semantic documents relatedness using concept graph representation,"Ni Y., Xu Q.K., Cao F., Mass Y., Sheinwald D., Zhu H.J., Cao S.S., Semantic documents relatedness using concept graph representation, Proceedings of the Ninth ACM International Conference On Web Search and Data Mining, pp. 635-644, (2016)",Exclude,""
weisfeiler and leman go neural: higher-order graph neural networks,"Morris C., Ritzert M., Fey M., Hamilton W.L., Lenssen J.E., Rattan G., Grohe M., Weisfeiler and Leman Go Neural: Higher-Order Graph Neural Networks, Proceedings of the AAAI Conference on Artificial Intelligence, 33, 1, pp. 4602-4609, (2019)",Exclude,""
segnet: a deep convolutional encoder-decoder architecture for image segmentation,"Badrinarayanan V., Kendall A., Cipolla R., Segnet: A deep convolutional encoder-decoder architecture for image segmentation, IEEE transactions on pattern analysis and machine intelligence, 39, 12, pp. 2481-2495, (2017)",Exclude,""
metric embedding,"Verbeek K., Suri S., Metric Embedding, Hyperbolic Space, and Social Networks, (2016)",Include,""
a reduction of a graph to a canonical form and an algebra arising during this reduction,"Weisfeiler B., Lehman A., A reduction of a graph to a canonical form and an algebra arising during this reduction, Nauchno Technicheskaya Informatsia, 2, 9, pp. 12-19, (1968)",Exclude,""
learning graphical state transitions,"Johnson D.D., Learning graphical state transitions, ICLR, (2017)",Exclude,""
variational graph auto-encoders,"Kipf T.N., Welling M., Variational graph auto-encoders, NIPS Workshop on Bayesian Deep Learning, (2016)",Exclude,""
bidirectional recurrent neural networks,"Schuster M., Paliwal K.K., Bidirectional recurrent neural networks, IEEE transactions on Signal Processing, 45, 11, pp. 2673-2681, (1997)",Exclude,""
feastnet: feature-steered graph convolutions for 3d shape analysis,"Verma N., Boyer E., Verbeek J., Feastnet: Feature-steered graph convolutions for 3d shape analysis, Proceedings of the IEEE conference on computer vision and pattern recognition, pp. 2598-2606, (2018)",Exclude,""
multi-graph-view learning for complicated object classification,"Jia W., Pan S., Zhu X., Cai Z., Zhang C., Multi-graph-view learning for complicated object classification, Int Conf Artif Intell IJCAI, pp. 3953-3959, (2015)",Exclude,""
asymmetric transitivity preserving graph embedding,"Ou M., Cui P., Pei J., Zhang Z., Zhu W., Asymmetric transitivity preserving graph embedding, pp. 1105-1114, (2016)",Exclude,""
principal neighbourhood aggregation for graph nets[j],"Corso G., Cavalleri L., Beaini D., Et al., Principal Neighbourhood Aggregation for Graph Nets[J], (2020)",Exclude,""
neural network design,"Hagan M.T., Demuth H.B., Beale M., Neural Network Design, (1997)",Exclude,""
reinforcement subgraph reasoning for fake news detection,"Yang R., Wang X., Jin Y., Li C., Lian J., Xie X., Reinforcement Subgraph Reasoning for Fake News Detection, KDD, pp. 2253-2262, (2022)",Exclude,""
graph u-nets,"Gao H., Ji S., Graph u-nets, international conference on machine learning. PMLR, pp. 2083-2092, (2019)",Include,""
gman: a graph multi-attention network for traffic prediction,"Zheng C., Fan X., Wang C., Qi J., Gman: A graph multi-attention network for traffic prediction, Proceedings of the AAAI Conference on Artificial Intelligence, 34, pp. 1234-1241",Exclude,""
a convolutional neural network for modelling sentences,"Nal K., Grefenstette E., Blunsom P., A convolutional neural network for modelling sentences, Proceedings of the 52nd Annual Meeting of the Association for Computational Linguistics, pp. 655-665, (2014)",Exclude,""
hecht-nielsen theory of the backpropagation neural network,"Hecht-Nielsen Theory of the backpropagation neural network, International 1989 Joint Conference on Neural Networks, 1, pp. 593-605, (1989)",Exclude,""
gated residual recurrent graph neural networks for traffic prediction,"Chen C., Li K., Teo S.G., Zou X., Wang K., Wang J., Zeng Z., Gated residual recurrent graph neural networks for traffic prediction, Proceedings of the AAAI Conference on Artificial Intelligence, 33, pp. 485-492, (2019)",Exclude,""
source free unsupervised graph domain adaptation,"Mao H., Du L., Zheng Y., Fu Q., Li Z., Chen X., Shi H., Zhang D., Source free unsupervised graph domain adaptation, (2021)",Exclude,""
sail: self-augmented graph contrastive learning,"Yu L., Pei S., Ding L., Zhou J., Li L., Zhang C., Zhang X., SAIL: Self-Augmented Graph Contrastive Learning, AAAI, (2022)",Exclude,""
pointer networks,"Vinyals O., Fortunato M., Jaitly N., Pointer networks, Advances in Neural Information Processing Systems 28: Annual Conference on Neural Information Processing Systems 2015, pp. 2692-2700, (2015)",Include,""
inductive representation learning on large graphs,"Hamilton W.L., Ying R., Leskovec J., Inductive representation learning on large graphs, Proceedings of the 31st international conference on neural information processing systems, pp. 1025-1035, (2017)",Exclude,""
mining finegrained semantics via graph neural networks for evidence-based fake news detection,"Xu W., Wu J., Liu Q., Wu S., Wang L., Mining Finegrained Semantics via Graph Neural Networks for Evidence-based Fake News Detection, (2022)",Exclude,""
source code classification using neural networks,"Gilda S., Source code classification using neural networks, 2017 14th International Joint Conference on Computer Science and Software Engineering (JCSSE), pp. 1-6, (2017)",Include,Exclude
going deeper with convolutions,"Szegedy C., Liu W., Jia Y., Sermanet P., Reed S., Anguelov D., Erhan D., Vanhoucke V., Rabinovich A., Going deeper with convolutions, 2015 IEEE Conference on Computer Vision and Pattern Recognition (CVPR)., pp. 1-9, (2015)",Exclude,""
self-supervised heterogeneous graph neural network with co-contrastive learning,"Wang X., Liu N., Han H., Shi C., Self-Supervised Heterogeneous Graph Neural Network with Co-Contrastive Learning. Arxiv Preprint Arxiv, 2105, (2021)",Exclude,""
keygraph: automatic indexing by co-occurrence graph based on building construction metaphor[c],"Ohsawa Y., Benson N.E., Yachida M., KeyGraph: Automatic indexing by co-occurrence graph based on building construction metaphor[C], Proceedings IEEE International Forum on Research and Technology Advances in Digital Libraries-ADL'98. IEEE, pp. 12-18, (1998)",Exclude,""
simplifying graph convolutional networks,"Wu F., Zhang T., De Souza A.H., Fifty C., Yu T., Weinberger K.Q., Simplifying graph convolutional networks, 36th Int. Conf. Mach. Learn. Icml 2019, pp. 11884-11894, (2019)",Exclude,""
generalized cross entropy loss for training deep neural networks with noisy labels,"Zhang Z., Sabuncu M., Generalized cross entropy loss for training deep neural networks with noisy labels, Proceedings of the Advances in Neural Information Processing Systems, pp. 8778-8788, (2018)",Exclude,""
diffusion-convolutional neural networks,"Atwood J., Towsley D., Diffusion-convolutional neural networks, Advances in neural information processing systems, 29, (2016)",Exclude,""
towards fine-grained reasoning for fake news detection,"Jin Y., Wang X., Yang R., Sun Y., Wang W., Liao H., Xie X., Towards fine-grained reasoning for fake news detection, AAAI, 36, pp. 5746-5754, (2022)",Exclude,""
gated graph neural attention networks for abstractive summarization,"Liang Z., Du J., Shao Y., Ji H., Gated graph neural attention networks for abstractive summarization, Neurocomputing, 431, pp. 128-136, (2021)",Exclude,""
2015b) gated graph sequence neural networks,"Li Y., Tarlow D., Brockschmidt M., Zemel R., 2015b) Gated graph sequence neural networks, Arxiv, 1511",Exclude,""
hyperbolic geometry of complex networks,"Krioukov D., Papadopoulos F., Kitsak M., Vahdat A., Boguna M., Hyperbolic Geometry of Complex Networks, Phys. Rev. E Stat. Nonlinear Soft Matter Phys, 82, (2010)",Exclude,""
generalization and representational limits of graph neural networks,"Garg V.K., Jegelka S., Jaakkola T.S., Generalization and representational limits of graph neural networks, ICML, Proceedings of Machine Learning Research, PMLR, 119, pp. 3419-3430, (2020)",Exclude,""
graph neural networks for mapping variables between programs-extended version,"Orvalho P., Piepenbrock J., Janota M., Manquinho V., Graph Neural Networks For Mapping Variables between Programs-Extended Version, (2023)",Include,Exclude (Duplicate)
measuring and relieving the over-smoothing problem for graph neural networks from the topological view,"Chen D., Lin Y., Li W., Li P., Zhou J., Sun X., Measuring and relieving the over-smoothing problem for graph neural networks from the topological view, Proceedings of the 34th AAAI Conference on Artificial Intelligence, the 32nd Innovative Applications of Artificial Intelligence Conference, the 10th AAAI Symposium on Educational Advances in Artificial Intelligence, pp. 3438-3445, (2020)",Exclude,""
matching node embeddings for graph similarity,"Nikolentzos G., Meladianos P., Vazirgiannis M., Matching node embeddings for graph similarity, (2017)",Exclude,""
revisiting small batch training for deep neural networks,"Masters D., Luschi C., Revisiting small batch training for deep neural networks, (2018)",Exclude,""
graphcrop: subgraph cropping for graph classification,"Wang Y., Wang W., Liang Y., Cai Y., Hooi B., Graphcrop: Subgraph cropping for graph classification, Corr Abs/2009, (2020)",Exclude,""
convolutional networks for images,"Le Cun Y., Bengio Y., Convolutional Networks for Images, Speech, and Time Series, pp. 255-258, (1998)",Exclude,""
biased edge dropout for enhancing fairness in graph representation learning,"Spinelli I., Scardapane S., Hussain A., Uncini A., Biased Edge Dropout for Enhancing Fairness in Graph Representation Learning, (2021)",Exclude,""
long short-termmemory,"Hochreiter S., Schmidhuber J., Long short-termmemory, Neural Computation, 9, 8, pp. 1735-1780, (1997)",Exclude,""
contrastive multi-view representation learning on graphs,"Hassani K., Khasahmadi A.H., Contrastive multi-view representation learning on graphs, International Conference on Machine Learning, pp. 4116-4126, (2020)",Exclude,""
metapath2vec: scalable representation learning for heterogeneous networks,"Dong Y., Chawla N.V., Swami A., metapath2vec: Scalable representation learning for heterogeneous networks, the 23rd ACM SIGKDD International Conference on Knowledge Discovery and Data Mining, pp. 135-144, (2017)",Exclude,""
augmentation-free graph contrastive learning,"Wang H., Zhang J., Zhu Q., Huang W., Augmentation-free graph contrastive learning, (2022)",Exclude,""
relation-aware entity alignment for heterogeneous knowledge graphs,"Wu Y., Liu X., Feng Y., Wang Z., Yan R., Zhao D., Relation-aware entity alignment for heterogeneous knowledge graphs, Proceedings of the 28th International Joint Conference on Artificial Intelligence, pp. 5278-5284, (2019)",Exclude,""
siamese neural networks for one-shot image recognition,"Koch G., Zemel R., Salakhutdinov R., Siamese neural networks for one-shot image recognition, ICML Deep Learning Workshop, 2, (2015)",Exclude,""
dynamic network embedding: an extended approach for skip-gram based network embedding,"Du L., Wang Y., Song G., Lu Z., Wang J., Dynamic Network Embedding: An Extended Approach for Skip-gram based Network Embedding, IJCAI, pp. 2086-2092, (2018)",Exclude,""
shne: representation learning for semantic-associated heterogeneous networks,"Zhang C., Swami A., Chawla N.V., Shne: Representation learning for semantic-associated heterogeneous networks, WSDM, (2019)",Exclude,""
graph embedding techniques,"Goyal P., Ferrara E., Graph embedding techniques, applications, and performance: a survey, Know Based Sys, 151, pp. 78-94, (2018)",Include,""
hyte: hyperplane-based temporally aware knowledge graph embedding,"Dasgupta S.S., Ray S.N., Talukdar P., Hyte: Hyperplane-based temporally aware knowledge graph embedding, Proceedings of the 2018 Conference on Empirical Methods in Natural Language Processing, pp. 2001-2011, (2018)",Exclude,""
ra-gcn: relational aggregation graph convolutional network for knowledge graph completion,"Tian A., Zhang C., Rang M., Yang X., Zhan Z., RA-GCN: Relational aggregation graph convolutional network for knowledge graph completion, International Conference on Machine Learning and Computing. ACM, pp. 580-586, (2020)",Exclude,""
using recurrent neural networks for decompilation,"Katz D.S., Ruchti J., Schulte E., Using recurrent neural networks for decompilation, In: 2018 IEEE 25Th International Conference on Software Analysis, Evolution and Reengineering (SANER), pp. 346-356, (2018)",Exclude,""
graph convolutional neural networks for web-scale recommender systems,"Ying R., He R., Chen K., Eksombatchai P., Hamilton W.L., Leskovec J., Graph convolutional neural networks for web-scale recommender systems, KDD, pp. 974-983, (2018)",Exclude,""
tbcnn: a tree-based convolutional neural network for programming language processing,"Mou L., Li G., Jin Z., Zhang L., Wang T., TBCNN: A tree-based convolutional neural network for programming language processing, (2014)",Include,Exclude (Pre-print)
graph autoencoder with constant dimensional latent space,"Malkowski A., Grzechocinski J., Wawrzynski P., Graph autoencoder with constant dimensional latent space, Arxiv Preprint Arxiv, 2201, (2022)",Exclude,""
function-level obfuscation detection method based on graph convolutional networks,"Jiang S., Hong Y., Fu C., Qian Y., Han L., Function-level obfuscation detection method based on graph convolutional networks, J. Inf. Secur. Appl., 61, (2021)",Include,Exclude
hyperbolic groups,"Gromov M., Hyperbolic groups, Essays in Group Theory, (1987)",Exclude,""
an empirical exploration of recurrent network architectures,"Jozefowicz R., Zaremba W., Sutskever I., An empirical exploration of recurrent network architectures, . In: Proceedings of the 32Nd International Conference on International Conference on Machine learning—volume 37 (ICML’15)., pp. 2342-2350, (2015)",Exclude,""
inferring javascript types using graph neural networks,"Schrouff J.V., Wohlfahrt K., Marnette B., Atkinson L., Inferring Javascript types using Graph Neural Networks, (2019)",Include,Exclude (Pre-print)
hierarchical graph representation learning with differentiable pooling,"Ying Zhitao, You Jiaxuan, Morris Christopher, Ren Xiang, Hamilton Will, Leskovec Jure, Hierarchical graph representation learning with differentiable pooling, Advances in neural information processing systems, pp. 4800-4810, (2018)",Exclude,""
certifying robustness of convolutional neural networks with tight linear approximation,"Xiao Y., Bai T., Mingzheng G., Fang C., Chen Z., Certifying robustness of convolutional neural networks with tight linear approximation, CoRR, (2022)",Exclude,""
hypergraph neural networks,"Feng Y., You H., Zhang Z., Ji R., Gao Y., Hypergraph neural networks, AAAI Conference on Artificial Intelligence, (2018)",Exclude,""
graph neural networks in program analysis,"Allamanis M., Graph Neural Networks in Program Analysis, pp. 483-497, (2022)",Include,Exclude
a neural influence diffusion model for social recommendation,"Wu L., Sun P., Fu Y., Hong R., Wang X., Wang M., A neural influence diffusion model for social recommendation, SIGIR, pp. 235-244, (2019)",Exclude,""
auto-encoding scene graphs for image captioning,"Yang X., Tang K., Zhang H., Cai J., Auto-encoding scene graphs for image captioning, Proceedings of the IEEE/CVF conference on computer vision and pattern recognition, pp. 10685-10694, (2019)",Exclude,""
densely connected convolutional networks,"Huang G., Liu Z., Van Der Maaten L., Weinberger K.Q., Densely connected convolutional networks, Proceedings of the IEEE Conference on Computer Vision and Pattern Recognition., pp. 4700-4708, (2017)",Exclude,""
generalization capability of artificial neural network incorporated with pruning method,"Urolagin S., Prema K.V., Subba Reddy N.V., Generalization capability of artificial neural network incorporated with pruning method, International Conference on Advanced Computing, Networking and Security., pp. 171-178, (2011)",Exclude,""
progressive neural architecture search,"Liu C., Et al., Progressive neural architecture search, Proc. Eur. Conf. Comput. Vis. (ECCV), pp. 19-34, (2018)",Exclude,""
graph neural networks: a review of methods and applications,"Zhou J., Et al., Graph neural networks: a review of methods and applications, AI Open, 1, pp. 57-81, (2020)",Exclude,""
text level graph neural network for text classification,"Huang L., Ma D., Li S., Zhang X., Wang H., Text Level Graph Neural Network for Text Classification, EMNLP-IJCNLP, (2019)",Exclude,""
deep neural networks for learning graph representations,"Cao S., Lu W., Xu Q., Deep Neural Networks for Learning Graph Representations, (2016)",Exclude,""
counterfactual graph learning for link prediction,"Zhao T., Liu G., Wang D., Yu W., Jiang M., Counterfactual graph learning for link prediction, Corr Abs/2106, (2021)",Exclude,""
universal readout for graph convolutional neural networks,"Navarin N., Van T.D., Sperduti A., Universal readout for graph convolutional neural networks, 2019 International Joint Conference on Neural Networks (IJCNN), pp. 1-7, (2019)",Exclude,""
identity-aware graph neural networks,"You J., Gomes-Selman J., Ying R., Leskovec J., Identity-Aware Graph Neural Networks, (2021)",Exclude,""
graph2seq: graph to sequence learning with attention-based neural networks,"Xu K., Wu L., Wang Z., Feng Y., Witbrock M., Sheinin V., Graph2Seq: Graph to Sequence Learning with Attention-based Neural Networks, (2018)",Exclude,""
shape robust text detection with progressive scale expansion network,"Wang W., Xie E., Li X., Hou W., Lu T., Yu G., Shao S., Shape robust text detection with progressive scale expansion network, Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition, pp. 9336-9345, (2019)",Exclude,""
a novel privacy-preserving speech recognition framework using bidirectional lstm,"Wang Q., Feng C., Xu Y., Zhong H., Sheng V.S., A novel privacy-preserving speech recognition framework using bidirectional LSTM, J. Cloud Comput., 9, 1, pp. 1-13, (2020)",Exclude,""
graphs in molecular biology,"Huber W., Carey V.J., Long L., Falcon S., Gentleman R., Graphs in molecular biology, BMC Bioinform, 8, 6, pp. 1-14, (2007)",Exclude,""
choice overload reduces neural signatures of choice set value in dorsal striatum and anterior cingulate cortex,"Reutskaja E., Lindner A., Nagel R., Andersen R.A., Camerer C.F., Choice overload reduces neural signatures of choice set value in dorsal striatum and anterior cingulate cortex, Nat. Hum. Behav., 2, 12, pp. 925-935, (2018)",Exclude,""
how many of all bugs do we find? a study of static bug detectors,"Habib A., Pradel M., How many of all bugs do we find? a study of static bug detectors, ASE, pp. 317-328, (2018)",Exclude,""
where should we fix this bug? a two-phase recommendation model,"Kim D., Tao Y., Kim S., Zeller A., Where should we fix this bug? A two-phase recommendation model, IEEE Transactions on Software Engineering, 39, 11, (2013)",Exclude,""
an empirical study on real bug fixes.,"Zhong H., Su Z., An Empirical Study on Real Bug Fixes., (2015)",Exclude,""
common bugfix patterns: a large-scale observational study,"Cunha Campos E., De Almeida Maia M., Common bugfix patterns: A large-scale observational study, 2017 ACM/IEEE International Symposium on Empirical Software Engineering and Measurement (ESEM). IEEE, pp. 404-413, (2017)",Exclude,""
a large-scale empirical study of security patches,"Li F., Paxson V., A large-scale empirical study of security patches, Proceedings of the 2017 Acm Sigsac Conference on Computer and Communications Security, Ccs '17, pp. 2201-2215, (2017)",Exclude,""
severity assessment of a reported bug by considering its uncertainty and irregular state[j],"Kumari M., Sharma M., Singh V.B., Severity assessment of a reported bug by considering its uncertainty and irregular state[J], International J. Open Source Softw. Process., 9, 4, pp. 20-46, (2018)",Exclude,""
how often do single-statement bugs occur the manysstubs4j dataset,"Karampatsis R., Sutton C.A., How often do single-statement bugs occur the ManySStuBs4J dataset, Proceedings of the 17th Mining Software Repositories IEEE, (2020)",Exclude,""
an empirical investigation into learning bug-fixing patches in sequence association rales,"Thummalapenta S., Xie T., An empirical investigation into learning bug-fixing patches in sequence association rales, ICSE, pp. 496-506, (2009)",Exclude,""
an exploratory study of bug prediction at the method level,"Mo R., Wei S., Feng Q., Li Z., An exploratory study of bug prediction at the method level, Inf. Softw. Technol., 144, (2022)",Exclude,""
an empirical study on learning bug-fixing patches in the wild via neural machine translation,"Tufano M., Watson C., Bavota G., Penta M.D., White M., Poshyvanyk D., An empirical study on learning bug-fixing patches in the wild via neural machine translation, Trans. Softw. Eng. Methodol., (2019)",Include,Exclude
a large-scale empirical study of just-in-time quality assurance,"Kamei Y., Shihab E., Adams B., Hassan A., Mockus A., Sinha A., Ubayashi N., A large-scale empirical study of just-in-time quality assurance, IEEE Trans. Softw. Eng., 39, 6, pp. 757-773, (2013)",Exclude,""
neural bug finding: a study of opportunities and challenges,"Habib A., Pradel M., Neural bug finding: A study of opportunities and challenges, (2019)",Include,Exclude (Pre-print)
how security bugs are fixed and what can be improved: an empirical study with mozilla,"Sun X., Peng X., Zhang K., Liu Y., Cai Y., How security bugs are fixed and what can be improved: an empirical study with mozilla, Sci. China Inf. Sci., 62, 1, pp. 191021-191023, (2019)",Exclude,""
cloudraid: hunting concurrency bugs in the cloud via log-mining,"Lu J., Li F., Li L., Feng X., Cloudraid: Hunting concurrency bugs in the cloud via log-mining, Proceedings of the 2018 26th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering (ESEC/FSE). 3-14, (2018)",Exclude,""
binsim: trace-based semantic binary diffing via system call sliced segment equivalence checking,"Ming J., Xu D., Jiang Y., Wu D., BinSim: Trace-based semantic binary diffing via system call sliced segment equivalence checking, 26th Usenix Security Symposium (USENIX Security 17), pp. 253-270, (2017)",Exclude,""
antminer: mining more bugs by reducing noise interference,"Liang B., Bian P., Zhang Y., Shi W., You W., Cai Y., Antminer: Mining more bugs by reducing noise interference, 2016 IEEE/ACM 38th International Conference on Software Engineering (ICSE), pp. 333-344, (2016)",Exclude,""
samplefix: learning to correct programs by sampling diverse fixes,"Hajipour H., Bhattacharya A., Fritz M., Samplefix: Learning to correct programs by sampling diverse fixes, (2019)",Exclude,""
finding bugs is easy,"Hovemeyer D., Pugh W., Finding bugs is easy, OOPSLA, pp. 92-106, (2004)",Exclude,""
cnn-based automatic prioritization of bug reports[j],"Umer Q., Liu H., Illahi I., CNN-based automatic prioritization of bug reports[J], IEEE Trans. Reliab., 69, 4, pp. 1341-1354, (2019)",Exclude,""
understanding and detecting real-world performance bugs,"Jin G., Song L., Shi X., Scherpelz J., Lu S., Understanding and detecting real-world performance bugs, SIGPLAN Not., 47, 6, pp. 77-88, (2012)",Exclude,""
"mining behavior graphs for ""backtrace"" of noncrashing bugs","Liu C., Yan X., Yu H., Han J., Yu P. S., Mining behavior graphs for ""backtrace"" of noncrashing bugs, Proceedings of the 2005 SIAM international conference on data mining. SIAM, pp. 286-297, (2005)",Exclude,""
towards standardizing and improving classification of bug-fix commits,"Zafar S., Zubair Malik M., Singh Walia G., Towards standardizing and improving classification of bug-fix commits, 2019 ACM/IEEE International Symposium on Empirical Software Engineering and Measurement (ESEM). IEEE, pp. 1-6, (2019)",Exclude,""
identification of security related bug reports via text mining using supervised and unsupervised classification,"Goseva-Popstojanova K., Tyo J., Identification of security related bug reports via text mining using supervised and unsupervised classification, 2018 Ieee International Conference on Software Quality, Reliability and Security (QRS), pp. 344-355, (2018)",Exclude,""
findbugs,"Findbugs, (2019)",Include,""
static detection of leaks in polymorphic containers,"Heine D.L., Lam M.S., Static detection of leaks in polymorphic containers, Proceedings of the 28th International Conference on Software Engineering (ICSE’06), pp. 252-261, (2006)",Exclude,""
automated classification of overfitting patches with statically extracted code features,"Ye H., Gu J., Martinez M., Durieux T., Monperrus M., Automated classification of overfitting patches with statically extracted code features, IEEE Transactions on Software Engineering, (2021)",Exclude,""
uqbtng: a tool capable of automatically nding integer overows in win32 binaries,"Wojtczuk R., UQBTng: a tool capable of automatically nding integer overows in Win32 binaries, Proceedings of Chaos Communication Congress, (2005)",Exclude,""
