Title,Full Reference
boa: a language and infrastructure for analyzing ultra-large-scale software repositories,"Dyer R., Nguyen H.A., Rajan H., Nguyen T.N., Boa: A language and infrastructure for analyzing ultra-large-scale software repositories, Proceedings of the 2013 International Conference On Software Engineering, pp. 422-431, (2013)"
introduction to automata theory,"Hopcroft J.E., Motwani R., Ullman J.D., Introduction to automata theory, languages, and computation, (2007)"
type analysis for javascript.,"Jensen S.H., Moller A., Thiemann P., Type Analysis for Javascript., (2009)"
binsequence: fast,"Huang H., Youssef A.M., Debbabi M., Binsequence: Fast, accurate and scalable binary code reuse detection, Proceedings of the 2017 ACM on Asia Conference on Computer and Communications Security (AsiaCCS), (2017)"
supervised speech separation based on deep learning: an overview,"Wang D., Chen J., Supervised speech separation based on deep learning: an overview, IEEE/ACM Trans Audio Speech Lang Process, 26, 10, pp. 1702-1726, (2018)"
codesmell detection as a bilevel problem,"Sahin D., Kessentini M., Bechikh S., Deb K., Codesmell detection as a bilevel problem, ACM Trans. Softw. Eng. Methodol, 24, 1, pp. 61-644, (2014)"
the plastic surgery hypothesis,"Barr E.T., Brun Y., Devanbu P., Harman M., Sarro F., The plastic surgery hypothesis, Foundations of Software Engineering. ACM, pp. 306-317, (2014)"
static detection of control-flow-related vulnerabilities using graph embedding,"Cheng X., Wang H., Hua J., Zhang M., Xu G., Yi L., Sui Y., Static detection of control-flow-related vulnerabilities using graph embedding, 2019 24th International Conference on Engineering of Complex Computer Systems (ICECCS’19), pp. 41-50, (2019)"
smack: decoupling source language details from verifier implementations,"Rakamaric Z., Emmi M., SMACK: Decoupling source language details from verifier implementations, CAV, LNCS, 8559, pp. 106-113, (2014)"
a new subspace clustering strategy for ai-based data analysis in iot system,"Cui Z., Jing X., Zhao P., Zhang W., Chen J., A new subspace clustering strategy for ai-based data analysis in iot system, IEEE Internet of Things Journal, 8, 16, pp. 12540-12549, (2021)"
an empirical study of security warnings from static application security testing tools,"Aloraini B., Nagappan M., German D.M., Hayashi S., Higo Y., An empirical study of security warnings from static application security testing tools, Journal of Systems and Software, 158, (2019)"
can knowledge of technical debt help identify software vulnerabilities?,"Nord R.L., Ozkaya I., Schwartz E.J., Shull F., Kazman R., Can Knowledge of Technical Debt Help Identify Software Vulnerabilities?, 9th Workshop on Cyber Security Experimentation and Test (CSET 16), (2016)"
explained: how big is the damage caused by open source software log4j vulnerability?,"Raveendran S., Explained: How Big Is the Damage Caused by Open Source Software Log4J Vulnerability?, (2021)"
representation learning for information diffusion through social networks: an embedded cascade model,"Bourigault S., Lamprier S., Gallinari P., Representation learning for information diffusion through social networks: An embedded cascade model, Proceedings of the Ninth ACM International Conference On Web Search and Data Mining, Ser. WSDM '16, pp. 573-582, (2016)"
do automatically generated unit tests find real faults? an empirical study of effectiveness and challenges,"Shamshiri S., Just R., Rojas J.M., Fraser G., McMinn P., Arcuri A., Do Automatically Generated Unit Tests Find Real Faults? An Empirical Study of Effectiveness and Challenges (T), 2015 30th IEEE/ACM International Conference on Automated Software Engineering (ASE), pp. 201-211, (2015)"
wala documentation,WALA Documentation
inc secure software,"Inc Secure Software, (2014)"
translating embeddings for modeling multi-relational data,"Bordes A., Usunier N., Garcia-Duran A., Weston J., Yakhnenko O., Translating embeddings for modeling multi-relational data, Advances in Neural Information Processing Systems 26: 27th Annual Conference on Neural Information Processing Systems 2013, pp. 2787-2795, (2013)"
the proof and measurement of association between two things,"Spearman C., The proof and measurement of association between two things, Am. J. Psychol., 15, pp. 72-101, (1904)"
how can i improve my app? classifying user reviews for software maintenance and evolution,"Panichella S., Di Sorbo A., Guzman E., Aaron Visaggio C., Canfora G., Gall H.C., How can I improve my app? Classifying user reviews for software maintenance and evolution, Proceedings of the IEEE International Conference on Software Maintenance and Evolution, pp. 281-290, (2015)"
a parallel corpus of python functions and documentation strings for automated code documentation and code generation,"Barone A.V.M., Sennrich R., A parallel corpus of python functions and documentation strings for automated code documentation and code generation, Proceedings of the Eighth International Joint Conference on Natural Language Processing, IJCNLP 2017, pp. 314-319, (2017)"
virustotal: r client for the virustotal api,"virustotal: R Client for the VirusTotal API, (2017)"
two modifications of cnn,"Tomek I., Two modifications of CNN, Ieee Transactions on Systems, Man, and Cybernetics, 6, 11, pp. 769-772, (1976)"
cppcheck,""
automated patch correctness assessment: how far are we?,"Wang S., Wen M., Lin B., Wu H., Qin Y., Zou D., Mao X., Jin H., Automated patch correctness assessment: How far are we?, Proceedings of the 35th IEEE/ACM International Conference on Automated Software Engineering., pp. 968-980, (2020)"
who should review this change?: putting text and file location analyses together for more accurate recommendations,"Xia X., Lo D., Wang X., Yang X., Who should review this change?: Putting text and file location analyses together for more accurate recommendations, 2015 IEEE International Conference on Software Maintenance and Evolution (ICSME), pp. 261-270, (2015)"
linux auditing: overhead and adaptation,"Zeng L., Xiao Y., Chen H., Linux auditing: Overhead and adaptation, Proceedings of the International Conference on Communications, pp. 7168-7173, (2015)"
2021. learning to find naming issues with big code and small supervision,"He J., Lee C., Raychev V., Vechev M., 2021. Learning to Find Naming Issues with Big Code and Small Supervision, pp. 296-311"
predicting the precise number of software defects: are we there yet?,"Yu X., Keung J., Xiao Y., Feng S., Li F., Dai H., Predicting the precise number of software defects: Are we there yet?, Inf. Softw. Technol., 146, (2022)"
on end-to-end program generation from user intention by deep neural networks,"Mou L., Men R., Li G., Zhang L., Jin Z., On end-to-end program generation from user intention by deep neural networks, (2015)"
generating hints for programming problems using intermediate output,"PEDDYCORD B., HICKS A., BARNES T., Generating hints for programming problems using intermediate output, Proceedings of the 7th International Conference on Educational Data Mining, pp. 92-98, (2014)"
knowledge extraction from on-line open source bug tracking systems to predict bug-fixing time,"Ardimento P., Dinapoli A., Knowledge Extraction from On-Line Open Source Bug Tracking Systems to Predict Bug-Fixing Time, Proceedings of the 7th International Conference on Web Intelligence, Mining and Semantics (WIMS '17)., (2017)"
identifying reasons for software changes using historic databases.,"Mockus A., Votta L.G., Identifying reasons for software changes using historic databases., Icsm, pp. 120-130, (2000)"
lstm: a search space odyssey,"Greff K., Srivastava R.K., Koutnik J., Steunebrink B.R., Schmidhuber J., LSTM: A search space odyssey, IEEE Trans. Neural Netw. Learn. Syst., 28, 10, pp. 2222-2232, (2016)"
twitter spam detection: survey of new approaches and comparative study,"Wu T., Wen S., Xiang Y., Zhou W., Twitter spam detection: Survey of new approaches and comparative study, Comput. Secur., 76, pp. 265-284, (2018)"
evilcoder: automated bug insertion,"Pewny J., Holz T., Evilcoder: Automated bug insertion, Proceedings of the 32Nd Annual Conference on Computer Security Applications, Pp. 214–225, ACSAC ’16, New York, NY, USA, (2016)"
refactoring in large software projects: per-forming complex restructurings successfully,"Lippert M., Roock S., Refactoring in large software projects: Per-forming complex restructurings successfully, (2006)"
fitness functions and transformations in an automated process,"Sukur N., Pracner D., Budimac Z., Fitness functions and transformations in an automated process, SQAMIA 2019, 8Th Workshop of Software Quality, Analysis, Monitoring, Improvement, and Applications, pp. 17-011710, (2019)"
an analysis of machine learning algorithms for condensing reverse engineered class diagrams,"Osman M.H., Chaudron M.R.V., Van Der Putten P., An analysis of machine learning algorithms for condensing reverse engineered class diagrams, Proc. IEEE Int. Conf. Softw. Maintenance, pp. 140-149, (2013)"
software assurance reference dataset (sard,Software Assurance Reference Dataset (SARD
an empirical study on the maintenance of source code clones,"Thummalapenta S., Cerulo L., Aversano L., Di Penta M., An empirical study on the maintenance of source code clones, Empir. Softw. Eng., 15, pp. 1-34, (2010)"
do bugs foreshadow vulnerabilities? a study of the chromium project,"Camilo F., Meneely A., Nagappan M., Do bugs foreshadow vulnerabilities? A study of the chromium project, 2015 IEEE/ACM 12th Working Conference On Mining Software Repositories, pp. 269-279, (2015)"
learning programs from noisy data,"Raychev V., Bielik P., Vechev M., Krause A., Learning programs from noisy data, ACM SIGPLAN Notices, 51, 1, pp. 761-774, (2016)"
schematic pseudocode for program constructs and its computer automation by schemacode,"Robillard P., Schematic pseudocode for program constructs and its computer automation by SCHEMACODE, Commun ACM, 29, pp. 1072-1089, (1986)"
mining the execution history of a software system to infer the best time for its adaptation,"Canavera K.R., Esfahani N., Malek S., Mining the execution history of a software system to infer the best time for its adaptation, Proceedings of the Acm Sigsoft 20th International Symposium on the Foundations of Software Engineering, (2012)"
rectified linear units improve restricted boltzmann machines,"Nair V., Hinton G.E., Rectified linear units improve restricted boltzmann machines, Proceedings of the 27th International Conference on International Conference on Machine Learning., pp. 807-814, (2010)"
effectiveness of exploring historical commits for developer recommendation: an empirical study,"Sun X., Yang H., Leung H., Li B., Li H.J., Liao L., Effectiveness of exploring historical commits for developer recommendation: An empirical study, Front. Comp. Sci., 12, 3, pp. 528-544, (2018)"
automatically detecting vulnerable websites before they turn malicious,"Soska K., Christin N., Automatically detecting vulnerable websites before they turn malicious, Proc. Usenix Secur. Symp., pp. 625-640, (2014)"
a survey of software refactoring,"Mens T., Tourwe T., A survey of software refactoring, IEEE Transactions on Software Engineering, 30, 2, pp. 126-139, (2004)"
improved automatic summarization of subroutines via attention to file context,"Haque S., LeClair A., Wu L., McMillan C., Improved automatic summarization of subroutines via attention to file context, Proceedings of the 17th International Conference on Mining Software Repositories, pp. 300-310, (2020)"
convolutional neural networks over tree structures for programming language processing,"Mou L., Li G., Zhang L., Wang T., Jin Z., Convolutional Neural Networks over Tree Structures for Programming Language Processing, Proceedings of the Thirtieth AAAI Conference on Artificial Intelligence, pp. 1287-1293, (2016)"
detecting self-mutating malware using control-flow graph matching,"Bruschi D., Martignoni L., Monga M., Detecting self-mutating malware using control-flow graph matching, Proc. Int. Conf. Detection Intrusions Malware Vulnerability Assessment, Springer, pp. 129-143, (2006)"
learning to fix build errors with graph2diff neural networks,"Tarlow D., Moitra S., Rice A., Chen Z., Manzagol P., Sutton C., Aftandilian E., Learning to fix build errors with graph2diff neural networks, ICSE '20: 42nd International Conference on Software Engineering, pp. 19-20, (2020)"
layer normalization,"Ba L.J., Kiros J.R., Hinton G.E., Layer normalization, CoRR, (2016)"
exceptions and aspects: the devil is in the details,"Filho F.C., Cacho N., Figueiredo E., Maranhao R., Garcia A., Rubira C.M.F., Exceptions and aspects: The devil is in the details, FSE, pp. 152-162, (2006)"
mutation testing advances: an analysis and survey,"Papadakis M., Kintis M., Zhang J., Jia Y., Le Traon Y., Harman M., Mutation testing advances: An analysis and survey, Advances in Computers., 112, pp. 275-378, (2019)"
stochastic gradient descent on riemannian manifolds,"Bonnabel S., Stochastic Gradient Descent on Riemannian Manifolds, IEEE Trans. Autom. Control, 58, pp. 2217-2229, (2013)"
resilience and vulnerability in supply chain: literature review,"Elleuch H., Dafaoui E., Elmhamedi A., Chabchoub H., Resilience and vulnerability in supply chain: literature review, IFAC-PapersOnLine, 49, 12, pp. 1448-1453, (2016)"
h2 database engine,"H2 Database Engine, (2022)"
network versus code metrics to predict defects: a replication study,"Premraj R., Herzig K., Network versus code metrics to predict defects: A replication study, Proc. Int. Symp. Empirical Softw. Eng. Meas., pp. 215-224, (2011)"
query expansion based on crowd knowledge for code search,"Nie L., Jiang H., Ren Z., Sun Z., Li X., Query expansion based on crowd knowledge for code search, IEEE Transactions on Services Computing, 9, 5, pp. 771-783, (2016)"
on the localness of software,"Tu Z., Su Z., Devanbu P., On the localness of software, : Proceedings of the 22Nd ACM SIGSOFT International Symposium on Foundations of Software Engineering (FSE 2014)., pp. 269-280, (2014)"
summarizing software artifacts: a literature review,"Nazar N., Hu Y., Jiang H., Summarizing software artifacts: A literature review, J. Comput. Sci. Technol, 31, 5, pp. 883-909, (2016)"
combining symbolic expressions and blackbox function evaluations in neural programs,"Arabshahi F., Singh S., Anandkumar A., Combining symbolic expressions and blackbox function evaluations in neural programs, Proceedings of the International Conference on Learning Representations (ICLR'18), (2018)"
itemrank: a random-walk based scoring algorithm for recommender engines,"Gori M., Pucci A., Itemrank: A random-walk based scoring algorithm for recommender engines, Proc. 20th Int. Joint Conf. Artif. Intell., pp. 2766-2771, (2007)"
generating natural language summaries for crosscutting source code concerns,"Rastkar S., Murphy G.C., Bradley A.W., Generating natural language summaries for crosscutting source code concerns, Icsm, pp. 103-112, (2011)"
the definitive antlr 4 reference.,"Parr T., The Definitive Antlr 4 Reference., (2013)"
deep code comment generation with hybrid lexical and syntactical information,"Hu X., Li G., Xia X., Lo D., Jin Z., Deep code comment generation with hybrid lexical and syntactical information, Empir. Softw. Eng., 25, 3, pp. 2179-2217, (2020)"
extensions of recurrent neural network language model,"Mikolov T., Kombrink S., Burget L., Cernocky J., Khudanpur S., Extensions of recurrent neural network language model, Proc. Ieee Int. Conf. Acoust., Speech Signal Process. (ICASSP), pp. 5528-5531, (2011)"
bidirectional lstm-crf models for sequence tagging,"Huang Z., Xu W., Yu K., Bidirectional LSTM-CRF models for sequence tagging, (2015)"
on learning meaningful code changes via neural machine translation,"Tufano M., Pantiuchina J., Watson C., Bavota G., Poshyvanyk D., On learning meaningful code changes via neural machine translation, ICSE, pp. 25-36, (2019)"
data-driven cybersecurity incident prediction: a survey,"Sun N., Zhang J., Rimba P., Gao S., Zhang L.Y., Xiang Y., Data-driven cybersecurity incident prediction: A survey, Ieee Commun. Surveys Tuts., 21, 2, pp. 1744-1772, (2019)"
scan synthesis for one-hot signals,"Mitra S., Avra L.J., McCluskey E.J., Scan synthesis for one-hot signals, Proceedings International Test Conference 1997, pp. 714-722, (1997)"
what does a textcnn learn?[j],"Gong L., Ji R., What does a TextCNN learn?[J], (2018)"
enhancing the unified features to locate buggy files by exploiting the sequential nature of source code,"Huo X., Li M., Enhancing the unified features to locate buggy files by exploiting the sequential nature of source code, Proceedings of the 26th International Joint Conference on Artificial Intelligence (IJCAI'17)., pp. 1909-1915, (2017)"
another look at measures of forecast accuracy,"HYNDMAN R. J., KOEHLER A. B., Another look at measures of forecast accuracy, International Journal of Forecasting, 22, 4, pp. 679-688, (2006)"
buggraph: differentiating source-binary code similarity with graph triplet-loss network,"Ji Y., Cui L., Huang H.H., Buggraph: Differentiating source-binary code similarity with graph triplet-loss network, Proceedings of the 2021 ACM Asia Conference on Computer and Communications Security, pp. 702-715, (2021)"
code completion with neural attention and pointer networks,"Li J., Wang Y., Lyu M.R., King I., Code completion with neural attention and pointer networks, Proceedings of the twenty-seventh international joint conference on artificial intelligence, IJCAI, pp. 4159-4165, (2018)"
abstractive text summarization using sequence-to-sequence rnns and beyond,"Nallapati R., Zhou B., Gulcehre C., Xiang B., Et al., Abstractive text summarization using sequence-to-sequence rnns and beyond, (2016)"
the hawthorne effect: a reconsideration of the methodological artifact,"Adair J.G., The hawthorne effect: A reconsideration of the methodological artifact, Journal of applied psychology, 69, (1984)"
page ranking based on number of visits of links of web page,"Kumar G., Duhan N., Sharma A.K., Page ranking based on number of visits of links of web page, Proc. 2nd Int. Conf. Comput. Commun. Technol., pp. 11-14, (2011)"
malicious http request detection using code-level convolutional neural network,"Jemal I., Haddar M.A., Cheikhrouhou O., Mahfoudhi A., Malicious http request detection using code-level convolutional neural network, Risks and Security of internet and systems - 15th International Conference, CRiSIS 2020, Paris, France, November 4-6, 2020, Revised Selected Papers, pp. 317-324, (2020)"
enhancing developer recommendation with supplementary information via mining historical commits,"Sun X., Yang H., Xia X., Li B., Enhancing developer recommendation with supplementary information via mining historical commits, J. Syst. Softw., 134, pp. 355-368, (2017)"
a learning algorithm for optimizing continuous integration development and testing practice,"Marijan D., Gotlieb A., Liaaen M., A learning algorithm for optimizing continuous integration development and testing practice, Softw. Pract. Exp., 49, 2, pp. 192-213, (2019)"
empirical study of transformers for source code,"Chirkova N., Troshin S., Empirical study of transformers for source code, Proceedings of the 29th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering, pp. 703-715, (2021)"
contest 1027c-minimum value rectangle,Contest 1027C-Minimum Value Rectangle
generating effective software obfuscation sequences with reinforcement learning,"Wang H., Wang S., Xu D., Zhang X., Liu X., Generating effective software obfuscation sequences with reinforcement learning, IEEE Trans Depend Secure Comput, (2020)"
modeling social coding dynamics with sampled historical data,"Bidoki N.H., Schiappa M., Sukthankar G., Garibay I., Modeling Social Coding Dynamics With Sampled Historical Data, Online Social Networks and Media, 16, 2020"
detecting false alarms from automatic static analysis tools: how far are we?,"Kang H.J.K.L.D., Detecting false alarms from automatic static analysis tools: How far are we?, Proceedings of the 44Th International Conference on Software Engineering (ICSE ’22)., pp. 698-709, (2022)"
t. j. watson libraries for analysis (wala,"T. J. Watson Libraries for Analysis (WALA, (2006)"
progress networks as a tool for analysing student programming difficulties,"MCBROOM J., PAASSEN B., JEFFRIES B., KOPRINSKA I., YACEF K., Progress networks as a tool for analysing student programming difficulties, Proceedings of the Twenty-Third Australasian Conference on Computing Education, pp. 158-167, (2021)"
convolutional sequence to sequence learning,"Gehring Jonas, Auli Michael, Grangier David, Yarats Denis, Dauphin Yann N., Convolutional sequence to sequence learning, Proceedings of the 34th International Conference on Machine Learning, volume 70 of Proceedings of Machine Learning Research, pp. 1243-1252, (2017)"
robust spammer detection using collaborative neural network in internet-of-things applications,"Guo Z., Shen Y., Bashir A.K., Imran M., Kumar N., Zhang D., Yu K., Robust spammer detection using collaborative neural network in internet-of-things applications, IEEE Internet of Things Journal, 8, 12, pp. 9549-9558, (2021)"
malicious web request detection using character-level cnn,"Rong W., Zhang B., Lv X., Malicious web request detection using character-level CNN, Machine learning for cyber security - second international conference, ML4CS 2019, Xi'An, China, september 19-21, 2019, Proceedings, pp. 6-16, (2019)"
a comparison of the quality of data-driven programming hint generation algorithms,"PRICE T. W., DONG Y., ZHI R., PAASSEN B., LYTLE N., CATETE V., BARNES T., A comparison of the quality of data-driven programming hint generation algorithms, International Journal of Artificial Intelligence in Education, 29, 3, pp. 368-395, (2019)"
malware analysis with graph kernels and support vector machines,"Wagner C., Wagener G., State R., Engel T., Malware analysis with graph kernels and support vector machines, MALWARE, pp. 63-68, (2009)"
threshold extraction framework for software metrics,"Alqmase M., Alshayeb M., Ghouti L., Threshold extraction framework for software metrics, J. Comput. Sci. Technol., 34, 5, pp. 1063-1078, (2019)"
learning representations by back-propagating errors,"Rumelhart David E, Hinton Geoffrey E, Williams Ronald J, Learning representations by back-propagating errors, nature, 323, 6088, pp. 533-536, (1986)"
collective personalized change classification with multiobjective search,"Xia X., Lo D., Wang X., Yang X., Collective personalized change classification with multiobjective search, IEEE Trans. Reliab., 65, 4, pp. 1810-1829, (2016)"
vuldeepecker: a deep learning-based system for vulnerability detection. proceedings of the network and distributed systems security (ndss) symposium 2018,"Li Z., Zou D., Xu S., Et al., Vuldeepecker: a deep learning-based system for vulnerability detection. Proceedings of the Network and Distributed Systems Security (NDSS) Symposium 2018"
identification of extract method refactoring opportunities for the decomposition of methods,"Tsantalis N., Chatzigeorgiou A., Identification of extract method refactoring opportunities for the decomposition of methods, Journal of Systems and Software, 84, pp. 1757-1782, (2011)"
intelligent mining vulnerabilities in python code snippets,"Guo W., Huang C., Niu W., Fang Y., Intelligent mining vulnerabilities in python code snippets, Journal of Intelligent & Fuzzy Systems, 41, 2, pp. 3615-3628, (2021)"
graph grammars and global program data flow analysis,"Farrow R., Kennedy K., Zucconi L., Graph grammars and global program data flow analysis, 17th Annual Symposium on Foundations of Computer Science (sfcs 1976), pp. 42-56, (1976)"
remaining trouble spots with computational thinking,"DENNING P. J., Remaining trouble spots with computational thinking, Communications of the ACM, 60, 6, pp. 33-39, (2017)"
using an rbf neural network to locate program bugs,"Wong W. E., Shi Y., Qi Y., Golden R., Using an rbf neural network to locate program bugs, 2008 19th International Symposium on Software Reliability Engineering (ISSRE). IEEE, pp. 27-36, (2008)"
gate-variants of gated recurrent unit (gru) neural networks,"Dey R., Salem F.M., Gate-variants of gated recurrent unit (gru) neural networks, 2017 IEEE 60th International Midwest Symposium on Circuits and Systems (MWSCAS), pp. 1597-1600, (2017)"
cppchecker,"Anon M., Cppchecker, (2022)"
recognizing behavioral patterns atruntime using finite automata,"Wendehals L., Orso A., Recognizing Behavioral Patterns Atruntime Using Finite Automata, Proceedings of the 2006 International Workshop on Dynamic Systems Analysis (WODA '06)., pp. 33-40, (2006)"
replication package,"Replication package, (2020)"
optimal transport for applied mathematicians,"Santambrogio F., Optimal transport for applied mathematicians, Progress in Nonlinear Differential Equations & Their Applications, pp. 99-102, (2015)"
codit: code editing with treebased neural models,"Chakraborty S., Ding Y., Allamanis M., Ray B., CODIT: Code editing with treebased neural models, IEEE Transactions on Software Engineering, (2020)"
giraph: large-scale graph processing on hadoop,"Giraph: Large-Scale Graph Processing on Hadoop, (2020)"
contest 4c-registration,Contest 4C-Registration
an adjusted recommendation list size approach for users’ multiple item preferences,"Peker S., Kocyigit A., An adjusted recommendation list size approach for users’ multiple item preferences, Artificial Intelligence: Methodology, Systems, and Applications, pp. 310-319, (2016)"
bugs as deviant behavior: a general approach to inferring errors in systems code,"Engler D., Yu Chen D., Hallem S., Chou A., Chelf B., Bugs as deviant behavior: A general approach to inferring errors in systems code, ACM SIGOPS Operating Systems Review, 35, 5, pp. 57-72, (2001)"
implicit session contexts for next-item recommendations,"Oh S., Bhardwaj A., Han J., Kim S., Rossi R.A., Kumar S., Implicit Session Contexts for Next-Item Recommendations, CIKM, pp. 4364-4368, (2022)"
code property graph-based vulnerability dataset generation for source code detection. in guangquan xu,"Guan Z., Wang X., Xin W., Wang J., Code property graph-based vulnerability dataset generation for source code detection. in Guangquan Xu, Kaitai Liang, and Chunhua Su, editors, Frontiers in Cyber Security, pp. 584-591, (2020)"
machine-learning-guided typestate analysis for static use-after-free detection,"Yan H., Sui Y., Chen S., Xue J., Machine-learning-guided typestate analysis for static use-after-free detection, Proceedings of the 33rd Annual Computer Security Applications Conference (ACSAC’17), pp. 42-54, (2017)"
overcode: visualizing variation in student solutions to programming problems at scale,"GLASSMAN E. L., SCOTT J., SINGH R., GUO P. J., MILLER R. C., Overcode: Visualizing variation in student solutions to programming problems at scale, ACM Transactions on Computer-Human Interaction, 22, 2, (2015)"
automatic detection and correction of web application vulnerabilities using data mining to predict false positives,"Medeiros I., Neves N.F., Correia M., Automatic detection and correction of web application vulnerabilities using data mining to predict false positives, Proceedings of The 23rd International Conference on World Wide Web, Ser. WWW’14, pp. 63-74, (2014)"
leveraging textual properties of bug reports to localize relevant source files,"Gharibi R., Rasekh A.H., Sadreddini M.H., Fakhrahmad S.M., Leveraging textual properties of bug reports to localize relevant source files, Inf. Process. Manage., 54, 6, pp. 1058-1076, (2018)"
a systematic review of machine learning techniques for software fault prediction,"Malhotra R., A systematic review of machine learning techniques for software fault prediction, Applied Soft Computing, 27, pp. 504-518, (2015)"
leveraging code generation to improve code retrieval and summarization via dual learning,"Ye W., Xie R., Zhang J., Hu T., Wang X., Zhang S., Leveraging code generation to improve code retrieval and summarization via dual learning, Proceedings of the Web Conference 2020, pp. 2309-2319, (2020)"
condensing class diagrams with minimal manual labeling cost,"Yang X., Lo D., Xia X., Sun J., Condensing class diagrams with minimal manual labeling cost, 2016 IEEE 40th Annual Computer Software and Applications Conference (COMPSAC, 1, pp. 22-31"
[journal first] are fix-inducing changes a moving target?: a longitudinal case study of just-in-time defect prediction,"McIntosh S., Kamei Y., [Journal first] are fix-inducing changes a moving target?: A longitudinal case study of just-in-time defect prediction, 2018 IEEE/ACM 40th International Conference On Software Engineering, ICSE, (2018)"
statically discovering high-order taint style vulnerabilities in os kernels,"Zhang H., Chen W., Hao Y., Li G., Zhai Y., Zou X., Qian Z., Statically discovering high-order taint style vulnerabilities in os kernels, Proceedings of the 2021 ACM SIGSAC Conference on Computer and Communications Security (CCS), (2021)"
pinpoint: fast and precise sparse value flow analysis for million lines of code,"Shi Q., Xiao X., Wu R., Zhou J., Fan G., Zhang C., Pinpoint: Fast and precise sparse value flow analysis for million lines of code, Proceedings of the 39th ACM SIGPLAN Conference on Programming Language Design and Implementation, PLDI 2018, pp. 693-706, (2018)"
a survey of combinatorial testing,"Nie C., Hareton L., A survey of combinatorial testing, ACM Comput Surv, 43, 2, (2011)"
contest 230b-tprime,Contest 230B-TPrime
architecture reconstruction.,"Koschke R., Architecture Reconstruction., pp. 140-173, (2009)"
control flow analysis,"Allen F.E., Control flow analysis, Proceedings of a Symposium on Compiler Optimization, (1970)"
empirical review of automated analysis tools on 47,"Durieux T., Ferreira J.F., Abreu R., Cruz P., Empirical review of automated analysis tools on 47,587 ethereum smart contracts, the ACM/IEEE 42nd International Conference on Software Engineering, 2020, pp. 530-541"
prototypical fine-tuning: towards robust performance under varying data sizes,"Jin Y., Wang X., Hao Y., Sun Y., Xie X., Prototypical Fine-tuning: Towards Robust Performance Under Varying Data Sizes, AAAI, (2023)"
adaptive mixtures of local experts,"Jacobs R.A., Jordan M.I., Nowlan S.J., Hinton G.E., Adaptive mixtures of local experts, Neural Comput, 3, 1, pp. 79-87, (2012)"
nscaching: simple and efficient negative sampling for knowledge graph embedding,"Zhang Y., Yao Q., Shao Y., Chen L., Nscaching: Simple and efficient negative sampling for knowledge graph embedding, 2019 IEEE 35th International Conference on Data Engineering (ICDE), pp. 614-625, (2019)"
link prediction in complex networks: a survey,"Lu L., Zhou T., Link prediction in complex networks: A survey, Physica A, 390, 6, (2011)"
vulnerability detection with finegrained interpretations,"Li Y., Wang S., Nguyen T.N., Vulnerability Detection with Finegrained Interpretations, The 29th ACM Joint European Software Engineering Conference and Symposium on the Foundations of Software Engineering, (2021)"
the cost of developing large-scale software,"Wolverton R.W., The cost of developing large-scale software, IEEE Trans. Comput., 23, 6, pp. 615-636, (1974)"
a survey of cyber attack detection strategies,"Raiyn J., Et al., A survey of cyber attack detection strategies, Int. J. Secur. Appl., 8, 1, pp. 247-256, (2014)"
bp-transformer: modelling long-range context via binary partitioning,"Ye Z., Guo Q., Gan Q., Qiu X., Zhang Z., Bp-transformer: Modelling long-range context via binary partitioning, (2019)"
learning to repair compilation errors,"Mesbah A., Rice A., Johnston E., Glorioso N., Aftandilian E., DeepDelta: Learning to repair compilation errors, Foundations of Software Engineering. ACM, pp. 925-936, (2019)"
marfcat: fast code analysis for defects and vulnerabilities,"Mokhov S.A., Paquet J., Debbabi M., MARFCAT: Fast code analysis for defects and vulnerabilities, 2015 IEEE 1st International Workshop on Software Analytics, pp. 35-38, (2015)"
software model checking for people who love automata,"Heizmann M., Hoenicke J., Podelski A., Software model checking for people who love automata, CAV, LNCS, 8044, pp. 36-52, (2013)"
imbalanced text classification: a term weighting approach,"Liu Y., Loh H.T., Sun A., Imbalanced text classification: A term weighting approach, Expert Syst. Appl., 36, 1, pp. 690-701, (2009)"
strategy selection for software verification based on boolean features—a simple but effective approach,"Beyer D., Dangl M., Strategy selection for software verification based on boolean features—a simple but effective approach, Isola, LNCS, 11245, pp. 144-159, (2018)"
2015 defense of soundiness:amanifesto. commun acm,"Livshits B., Sridharan M., Smaragdakis Y., Lhotak O., Nelson Amaral J., Evan Chang B., Guyer S.Z., Khedker U.P., Moller A., Vardoulakis D., 2015 Defense of Soundiness:AManifesto. Commun ACM, 58, 2, pp. 44-46, (2015)"
antlr (another tool for language recognition),"Antlr (ANother Tool for Language Recognition), (2019)"
towards the use of the readily available tests from the release pipeline as performance tests. are we there yet?,"Ding Z., Chen J., Shang W., Towards the use of the readily available tests from the release pipeline as performance tests. Are we there yet?, Proceedings of the 42nd International Conference on Software Engineering, (2020)"
positive and unlabeled learning for detecting software functional clones with adversarial training,"Wei H., Li M., Positive and unlabeled learning for detecting software functional clones with adversarial training, Proceedings of the 27th International Joint Conference on Artificial Intelligence (IJCAI'18)., pp. 2840-2846, (2018)"
identifying redundancy in source code using fingerprints,"Howard Johnson J., Identifying redundancy in source code using fingerprints, Proceedings of the 1993 Conference of the Centre for Advanced Studies on Collaborative Research: Software Engineering - Volume 1 (CASCON’93), pp. 171-183, (1993)"
